slash_ship,gen_ship,members_no,fandom,rpf_or_fic,gender_combo,race_combo,member_1,member_2,member_3,member_4
Niall Horan x Zayn Malik,Niall Horan & Zayn Malik,2,One Direction,RPF,M / M,White / S Asian,One Direction - Niall Horan,One Direction - Zayn Malik,None,None
Roronoa Zoro | Pirate Hunter Zoro x Sanji Vinsmoke | Black-Leg Sanji,Roronoa Zoro | Pirate Hunter Zoro & Sanji Vinsmoke | Black-Leg Sanji,2,One Piece | ワンピース,fictional,M / M,E Asian / White,One Piece | ワンピース - Roronoa Zoro | Pirate Hunter Zoro,One Piece | ワンピース - Sanji Vinsmoke | Black-Leg Sanji,None,None
Genos | Demon Cyborg x Saitama | One Punch Man/Caped Baldy,Genos | Demon Cyborg & Saitama | One Punch Man/Caped Baldy,2,One-Punch Man | ワンパンマン,fictional,M / M,E Asian,One-Punch Man | ワンパンマン - Genos | Demon Cyborg,One-Punch Man | ワンパンマン - Saitama | One Punch Man/Caped Baldy,None,None
Alex Vause x Piper Chapman,Alex Vause & Piper Chapman,2,Orange is the New Black,fictional,F / F,White,Orange is the New Black - Alex Vause,Orange is the New Black - Piper Chapman,None,None
Alison Hendrix x Beth Childs,Alison Hendrix & Beth Childs,2,Orphan Black,fictional,F / F,White,Orphan Black - Alison Hendrix,Orphan Black - Beth Childs,None,None
Cosima Niehaus x Delphine Cormier,Cosima Niehaus & Delphine Cormier,2,Orphan Black,fictional,F / F,White,Orphan Black - Cosima Niehaus,Orphan Black - Delphine Cormier,None,None
Edward Teach | Blackbeard x Israel Hands,Edward Teach | Blackbeard & Israel Hands,2,Our Flag Means Death,fictional,M / M,Māori Ind (Multi) / White,Our Flag Means Death - Edward Teach | Blackbeard,Our Flag Means Death - Israel Hands,None,None
Edward Teach | Blackbeard x Stede Bonnet,Edward Teach | Blackbeard & Stede Bonnet,2,Our Flag Means Death,fictional,M / M,Māori Ind (Multi) / White,Our Flag Means Death - Edward Teach | Blackbeard,Our Flag Means Death - Stede Bonnet,None,None
Amélie Lacroix | Widowmaker x Lena Oxton | Tracer,Amélie Lacroix | Widowmaker & Lena Oxton | Tracer,2,Overwatch,fictional,F / F,White,Overwatch - Amélie Lacroix | Widowmaker,Overwatch - Lena Oxton | Tracer,None,None
Angela Ziegler | Mercy x Fareeha Amari | Pharah,Angela Ziegler | Mercy & Fareeha Amari | Pharah,2,Overwatch,fictional,F / F,White / MENA,Overwatch - Angela Ziegler | Mercy,Overwatch - Fareeha Amari | Pharah,None,None
Angela Ziegler | Mercy x Moira O'Deorain,Angela Ziegler | Mercy & Moira O'Deorain,2,Overwatch,fictional,F / F,White,Overwatch - Angela Ziegler | Mercy,Overwatch - Moira O'Deorain,None,None
Emily x Lena Oxton | Tracer,Emily & Lena Oxton | Tracer,2,Overwatch,fictional,F / F,White,Overwatch - Emily,Overwatch - Lena Oxton | Tracer,None,None
Gabriel Reyes | Reaper x Jack Morrison | Soldier: 76,Gabriel Reyes | Reaper & Jack Morrison | Soldier: 76,2,Overwatch,fictional,M / M,Af Lat / White,Overwatch - Gabriel Reyes | Reaper,Overwatch - Jack Morrison | Soldier: 76,None,None
Jesse McCree | McCree x Shimada Hanzo,Jesse McCree | McCree & Shimada Hanzo,2,Overwatch,fictional,M / M,White / E Asian,Overwatch - Jesse McCree | McCree,Overwatch - Shimada Hanzo,None,None
Hermann Gottlieb x Newton Geiszler,Hermann Gottlieb & Newton Geiszler,2,Pacific Rim,fictional,M / M,White,Pacific Rim - Hermann Gottlieb,Pacific Rim - Newton Geiszler,None,None
Brendon Urie x Ryan Ross,Brendon Urie & Ryan Ross,2,Panic! at the Disco,RPF,M / M,White (Multi) / White,Panic! at the Disco - Brendon Urie,Panic! at the Disco - Ryan Ross,None,None
Brendon Urie x Spencer Smith,Brendon Urie & Spencer Smith,2,Panic! at the Disco,RPF,M / M,White (Multi) / White,Panic! at the Disco - Brendon Urie,Panic! at the Disco - Spencer Smith,None,None
Annabeth Chase x Percy Jackson,Annabeth Chase & Percy Jackson,2,Percy Jackson,fictional,F / M,White,Percy Jackson - Annabeth Chase,Percy Jackson - Percy Jackson,None,None
Annabeth Chase x Piper McLean,Annabeth Chase & Piper McLean,2,Percy Jackson,fictional,F / F,White / Am Ind,Percy Jackson - Annabeth Chase,Percy Jackson - Piper McLean,None,None
Nico di Angelo x Will Solace,Nico di Angelo & Will Solace,2,Percy Jackson,fictional,M / M,White,Percy Jackson - Nico di Angelo,Percy Jackson - Will Solace,None,None
Harold Finch x John Reese,Harold Finch & John Reese,2,Person of Interest,fictional,M / M,White,Person of Interest - Harold Finch,Person of Interest - John Reese,None,None
Samantha Groves | Root x Sameen Shaw,Samantha Groves | Root & Sameen Shaw,2,Person of Interest,fictional,F / F,White / MENA (Multi),Person of Interest - Samantha Groves | Root,Person of Interest - Sameen Shaw,None,None
Akechi Goro x Amamiya Ren | Player Character,Akechi Goro & Amamiya Ren | Player Character,2,Persona,fictional,M / M,E Asian,Persona - Akechi Goro,Persona - Amamiya Ren | Player Character,None,None
Amagi Yukiko x Satonaka Chie,Amagi Yukiko & Satonaka Chie,2,Persona,fictional,F / F,E Asian,Persona - Amagi Yukiko,Persona - Satonaka Chie,None,None
Beca Mitchell x Chloe Beale,Beca Mitchell & Chloe Beale,2,Pitch Perfect,fictional,F / F,White,Pitch Perfect - Beca Mitchell,Pitch Perfect - Chloe Beale,None,None
Kimberly Ann 'Kim' Hart | Pink Ranger x Trini Kwan | Yellow Ranger,Kimberly Ann 'Kim' Hart | Pink Ranger & Trini Kwan | Yellow Ranger,2,Power Rangers,fictional,F / F,Ambig / SE Asian,Power Rangers - Kimberly Ann 'Kim' Hart | Pink Ranger,Power Rangers - Trini Kwan | Yellow Ranger,None,None
Kaiou Michiru | Sailor Neptune x Tenoh Haruka | Sailor Uranus,Kaiou Michiru | Sailor Neptune & Tenoh Haruka | Sailor Uranus,2,Pretty Guardian Sailor Moon | 美少女戦士セーラームーン,fictional,F / F | Other,E Asian,Pretty Guardian Sailor Moon | 美少女戦士セーラームーン - Kaiou Michiru | Sailor Neptune,Pretty Guardian Sailor Moon | 美少女戦士セーラームーン - Tenoh Haruka | Sailor Uranus,None,None
Akemi Homura x Kaname Madoka,Akemi Homura & Kaname Madoka,2,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ,fictional,F / F,E Asian,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ - Akemi Homura,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ - Kaname Madoka,None,None
Miki Sayaka x Sakura Kyouko,Miki Sayaka & Sakura Kyouko,2,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ,fictional,F / F,E Asian,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ - Miki Sayaka,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ - Sakura Kyouko,None,None
Brian Kinney x Justin Taylor,Brian Kinney & Justin Taylor,2,Queer as Folk,fictional,M / M,White,Queer as Folk - Brian Kinney,Queer as Folk - Justin Taylor,None,None
Blake Belladonna x Xiao Long Yang,Blake Belladonna & Xiao Long Yang,2,RWBY,fictional,F / F,E Asian,RWBY - Blake Belladonna,RWBY - Xiao Long Yang,None,None
Ruby Rose x Weiss Schnee,Ruby Rose & Weiss Schnee,2,RWBY,fictional,F / F,E Asian (Multi) / White,RWBY - Ruby Rose,RWBY - Weiss Schnee,None,None
Weiss Schnee x Xiao Long Yang,Weiss Schnee & Xiao Long Yang,2,RWBY,fictional,F / F,White / E Asian,RWBY - Weiss Schnee,RWBY - Xiao Long Yang,None,None
Adam Parrish x Ronan Lynch,Adam Parrish & Ronan Lynch,2,Raven Cycle,fictional,M / M,White,Raven Cycle - Adam Parrish,Raven Cycle - Ronan Lynch,None,None
Bae Joohyun | Irene x Kang Seulgi | Seulgi,Bae Joohyun | Irene & Kang Seulgi | Seulgi,2,Red Velvet,RPF,F / F,E Asian,Red Velvet - Bae Joohyun | Irene,Red Velvet - Kang Seulgi | Seulgi,None,None
Betty Cooper x Jughead Jones,Betty Cooper & Jughead Jones,2,Riverdale,fictional,F / M,White,Riverdale - Betty Cooper,Riverdale - Jughead Jones,None,None
Betty Cooper x Veronica Lodge,Betty Cooper & Veronica Lodge,2,Riverdale,fictional,F / F,White / Latin,Riverdale - Betty Cooper,Riverdale - Veronica Lodge,None,None
Cheryl Blossom x Toni Topaz,Cheryl Blossom & Toni Topaz,2,Riverdale,fictional,F / F,White / Black (Multi),Riverdale - Cheryl Blossom,Riverdale - Toni Topaz,None,None
Jane Rizzoli x Maura Isles,Jane Rizzoli & Maura Isles,2,Rizzoli & Isles,fictional,F / F,White,Rizzoli & Isles - Jane Rizzoli,Rizzoli & Isles - Maura Isles,None,None
Gail Peck x Holly Stewart,Gail Peck & Holly Stewart,2,Rookie Blue,fictional,F / F,White,Rookie Blue - Gail Peck,Rookie Blue - Holly Stewart,None,None
Alex Manes x Michael Guerin,Alex Manes & Michael Guerin,2,Roswell New Mexico,fictional,M / M,White / SE Eu (Multi),Roswell New Mexico - Alex Manes,Roswell New Mexico - Michael Guerin,None,None
Hasegawa Langa x Kyan Reki,Hasegawa Langa & Kyan Reki,2,SK8 the Infinity | SK∞ エスケーエイト,fictional,M / M,E Asian (Multi) / E Asian,SK8 the Infinity | SK∞ エスケーエイト - Hasegawa Langa,SK8 the Infinity | SK∞ エスケーエイト - Kyan Reki,None,None
Nanjo Kojiro | Joe x Sakurayashiki Kaoru | Cherry Blossom,Nanjo Kojiro | Joe & Sakurayashiki Kaoru | Cherry Blossom,2,SK8 the Infinity | SK∞ エスケーエイト,fictional,M / M,E Asian,SK8 the Infinity | SK∞ エスケーエイト - Nanjo Kojiro | Joe,SK8 the Infinity | SK∞ エスケーエイト - Sakurayashiki Kaoru | Cherry Blossom,None,None
Even Bech Næsheim x Isak Valtersen,Even Bech Næsheim & Isak Valtersen,2,SKAM,fictional,M / M,White,SKAM - Even Bech Næsheim,SKAM - Isak Valtersen,None,None
Logan Sanders | Logic x Patton Sanders | Morality,Logan Sanders | Logic & Patton Sanders | Morality,2,Sanders Sides,fictional,M / M,White,Sanders Sides - Logan Sanders | Logic,Sanders Sides - Patton Sanders | Morality,None,None
Roman 'Princey' Sanders | Creativity x Virgil Sanders | Anxiety,Roman 'Princey' Sanders | Creativity & Virgil Sanders | Anxiety,2,Sanders Sides,fictional,M / M,White,Sanders Sides - Roman 'Princey' Sanders | Creativity,Sanders Sides - Virgil Sanders | Anxiety,None,None
David Rose x Patrick Brewer,David Rose & Patrick Brewer,2,Schitt's Creek,fictional,M / M,White,Schitt's Creek - David Rose,Schitt's Creek - Patrick Brewer,None,None
Hyakuya Mikaela x Hyakuya Yuuichirou,Hyakuya Mikaela & Hyakuya Yuuichirou,2,Seraph of the End | 終わりのセラフ,fictional,M / M,E Asian,Seraph of the End | 終わりのセラフ - Hyakuya Mikaela,Seraph of the End | 終わりのセラフ - Hyakuya Yuuichirou,None,None
Aleksander Morozova | The Darkling x Alina Starkov,Aleksander Morozova | The Darkling & Alina Starkov,2,Shadow and Bone,fictional,M / F,White / E Asian (Multi),Shadow and Bone - Aleksander Morozova | The Darkling,Shadow and Bone - Alina Starkov,None,None
Alec Lightwood x Magnus Bane,Alec Lightwood & Magnus Bane,2,Shadowhunters | Mortal Instruments,fictional,M / M,White / E Asian,Shadowhunters | Mortal Instruments - Alec Lightwood,Shadowhunters | Mortal Instruments - Magnus Bane,None,None
Clary Fray x Isabelle Lightwood,Clary Fray & Isabelle Lightwood,2,Shadowhunters | Mortal Instruments,fictional,F / F,White / Ambig,Shadowhunters | Mortal Instruments - Clary Fray,Shadowhunters | Mortal Instruments - Isabelle Lightwood,None,None
Ian Gallagher x Mickey Milkovich,Ian Gallagher & Mickey Milkovich,2,Shameless,fictional,M / M,White,Shameless - Ian Gallagher,Shameless - Mickey Milkovich,None,None
Adora x Catra,Adora & Catra,2,She-Ra and the Princesses of Power,fictional,F / F,White / Latin,She-Ra and the Princesses of Power - Adora,She-Ra and the Princesses of Power - Catra,None,None
Adora x Glimmer,Adora & Glimmer,2,She-Ra and the Princesses of Power,fictional,F / F,White / E Asian (Multi),She-Ra and the Princesses of Power - Adora,She-Ra and the Princesses of Power - Glimmer,None,None
Perfuma x Scorpia,Perfuma & Scorpia,2,She-Ra and the Princesses of Power,fictional,F / F,Latin / Asian (Multi),She-Ra and the Princesses of Power - Perfuma,She-Ra and the Princesses of Power - Scorpia,None,None
Clara x Harriet 'Harry' Watson,Clara & Harriet 'Harry' Watson,2,Sherlock,fictional,F / F,Unknown,Sherlock - Clara,Sherlock - Harriet 'Harry' Watson,None,None
Greg Lestrade x Mycroft Holmes,Greg Lestrade & Mycroft Holmes,2,Sherlock,fictional,M / M,White,Sherlock - Greg Lestrade,Sherlock - Mycroft Holmes,None,None
Irene Adler x Molly Hooper,Irene Adler & Molly Hooper,2,Sherlock,fictional,F / F,White,Sherlock - Irene Adler,Sherlock - Molly Hooper,None,None
James 'Jim' Moriarty x Sebastian Moran,James 'Jim' Moriarty & Sebastian Moran,2,Sherlock,fictional,M / M,White,Sherlock - James 'Jim' Moriarty,Sherlock - Sebastian Moran,None,None
John Watson x Mary Morstan,John Watson & Mary Morstan,2,Sherlock,fictional,M / F,White,Sherlock - John Watson,Sherlock - Mary Morstan,None,None
John Watson x Sherlock Holmes,John Watson & Sherlock Holmes,2,Sherlock,fictional,M / M,White,Sherlock - John Watson,Sherlock - Sherlock Holmes,None,None
Lestrade x Mycroft Holmes,Lestrade & Mycroft Holmes,2,Sherlock,fictional,M / M,White,Sherlock - Lestrade,Sherlock - Mycroft Holmes,None,None
Molly Hooper x Sherlock Holmes,Molly Hooper & Sherlock Holmes,2,Sherlock,fictional,F / M,White,Sherlock - Molly Hooper,Sherlock - Sherlock Holmes,None,None
Jesper Fahey x Wylan Van Eck,Jesper Fahey & Wylan Van Eck,2,Six of Crows,fictional,M / M,Black / White,Six of Crows - Jesper Fahey,Six of Crows - Wylan Van Eck,None,None
Emily Fitch x Naomi Campbell,Emily Fitch & Naomi Campbell,2,Skins,fictional,F / F,White,Skins - Emily Fitch,Skins - Naomi Campbell,None,None
Craig Tucker x Tweek Tweak,Craig Tucker & Tweek Tweak,2,South Park,fictional,M / M,White,South Park - Craig Tucker,South Park - Tweek Tweak,None,None
Kyle Broflovski x Stan Marsh,Kyle Broflovski & Stan Marsh,2,South Park,fictional,M / M,White,South Park - Kyle Broflovski,South Park - Stan Marsh,None,None
Agron x Nasir,Agron & Nasir,2,Spartacus,fictional,M / M,White / MENA,Spartacus - Agron,Spartacus - Nasir,None,None
Chris Pine x Zachary Quinto,Chris Pine & Zachary Quinto,2,Star Trek,RPF,M / M,White / Latin (Multi),Star Trek - Chris Pine,Star Trek - Zachary Quinto,None,None
Hikaru Sulu x Pavel Chekov,Hikaru Sulu & Pavel Chekov,2,Star Trek,fictional,M / M,E Asian / White,Star Trek - Hikaru Sulu,Star Trek - Pavel Chekov,None,None
James T. Kirk x Leonard 'Bones' McCoy,James T. Kirk & Leonard 'Bones' McCoy,2,Star Trek,fictional,M / M,White,Star Trek - James T. Kirk,Star Trek - Leonard 'Bones' McCoy,None,None
James T. Kirk x Spock,James T. Kirk & Spock,2,Star Trek,fictional,M / M,White,Star Trek - James T. Kirk,Star Trek - Spock,None,None
Kathryn Janeway x Seven of Nine,Kathryn Janeway & Seven of Nine,2,Star Trek,fictional,F / F,White,Star Trek - Kathryn Janeway,Star Trek - Seven of Nine,None,None
Nyota Uhura x Spock,Nyota Uhura & Spock,2,Star Trek,fictional,F / M,Black / White,Star Trek - Nyota Uhura,Star Trek - Spock,None,None
Anakin Skywalker | Darth Vader x Obi-Wan Kenobi,Anakin Skywalker | Darth Vader & Obi-Wan Kenobi,2,Star Wars,fictional,M / M,White,Star Wars - Anakin Skywalker | Darth Vader,Star Wars - Obi-Wan Kenobi,None,None
Anakin Skywalker | Darth Vader x Padmé Amidala,Anakin Skywalker | Darth Vader & Padmé Amidala,2,Star Wars,fictional,M / F,White,Star Wars - Anakin Skywalker | Darth Vader,Star Wars - Padmé Amidala,None,None
Armitage Hux x Ben Solo | Kylo Ren,Armitage Hux & Ben Solo | Kylo Ren,2,Star Wars,fictional,M / M,White,Star Wars - Armitage Hux,Star Wars - Ben Solo | Kylo Ren,None,None
Baze Malbus x Chirrut Îmwe,Baze Malbus & Chirrut Îmwe,2,Star Wars,fictional,M / M,E Asian,Star Wars - Baze Malbus,Star Wars - Chirrut Îmwe,None,None
Ben Solo | Kylo Ren x Rey,Ben Solo | Kylo Ren & Rey,2,Star Wars,fictional,M / F,White,Star Wars - Ben Solo | Kylo Ren,Star Wars - Rey,None,None
Cassian Andor x Jyn Erso,Cassian Andor & Jyn Erso,2,Star Wars,fictional,M / F,Latin (Multi) / White,Star Wars - Cassian Andor,Star Wars - Jyn Erso,None,None
Finn x Poe Dameron,Finn & Poe Dameron,2,Star Wars,fictional,M / M,Black / Latin,Star Wars - Finn,Star Wars - Poe Dameron,None,None
Han Solo x Leia Organa,Han Solo & Leia Organa,2,Star Wars,fictional,M / F,White,Star Wars - Han Solo,Star Wars - Leia Organa,None,None
Jessika Pava x Rey,Jessika Pava & Rey,2,Star Wars,fictional,F / F,SE Asian (Multi) / White,Star Wars - Jessika Pava,Star Wars - Rey,None,None
Obi-Wan Kenobi x Qui-Gon Jinn,Obi-Wan Kenobi & Qui-Gon Jinn,2,Star Wars,fictional,M / M,White,Star Wars - Obi-Wan Kenobi,Star Wars - Qui-Gon Jinn,None,None
Daniel Jackson x Jack O'Neill,Daniel Jackson & Jack O'Neill,2,Stargate,fictional,M / M,White,Stargate - Daniel Jackson,Stargate - Jack O'Neill,None,None
Elizabeth Weir x John Sheppard,Elizabeth Weir & John Sheppard,2,Stargate,fictional,F / M,White,Stargate - Elizabeth Weir,Stargate - John Sheppard,None,None
Jack O'Neill x Sam Carter,Jack O'Neill & Sam Carter,2,Stargate,fictional,M / F,White,Stargate - Jack O'Neill,Stargate - Sam Carter,None,None
Janet Fraiser x Sam Carter,Janet Fraiser & Sam Carter,2,Stargate,fictional,F / F,White,Stargate - Janet Fraiser,Stargate - Sam Carter,None,None
John Sheppard x Rodney McKay,John Sheppard & Rodney McKay,2,Stargate,fictional,M / M,White,Stargate - John Sheppard,Stargate - Rodney McKay,None,None
David Starsky x Kenneth 'Ken' Hutchinson,David Starsky & Kenneth 'Ken' Hutchinson,2,Starsky & Hutch,fictional,M / M,White,Starsky & Hutch - David Starsky,Starsky & Hutch - Kenneth 'Ken' Hutchinson,None,None
Carina DeLuca x Maya Bishop,Carina DeLuca & Maya Bishop,2,Station 19,fictional,F / F,White,Station 19 - Carina DeLuca,Station 19 - Maya Bishop,None,None
Amethyst x Pearl,Amethyst & Pearl,2,Steven Universe,fictional,F | Other / F | Other,N.H.,Steven Universe - Amethyst,Steven Universe - Pearl,None,None
Amethyst x Peridot,Amethyst & Peridot,2,Steven Universe,fictional,F | Other / F | Other,N.H.,Steven Universe - Amethyst,Steven Universe - Peridot,None,None
Garnet x Pearl,Garnet & Pearl,2,Steven Universe,fictional,F | Other / F | Other,Ambig / N.H.,Steven Universe - Garnet,Steven Universe - Pearl,None,None
Jasper x Peridot,Jasper & Peridot,2,Steven Universe,fictional,F | Other / F | Other,Ambig / N.H.,Steven Universe - Jasper,Steven Universe - Peridot,None,None
Lapis Lazuli x Peridot,Lapis Lazuli & Peridot,2,Steven Universe,fictional,F | Other / F | Other,N.H.,Steven Universe - Lapis Lazuli,Steven Universe - Peridot,None,None
Pearl x Rose Quartz | Pink Diamond,Pearl & Rose Quartz | Pink Diamond,2,Steven Universe,fictional,F | Other / F | Other,N.H.,Steven Universe - Pearl,Steven Universe - Rose Quartz | Pink Diamond,None,None
Ruby x Sapphire,Ruby & Sapphire,2,Steven Universe,fictional,F | Other / F | Other,N.H.,Steven Universe - Ruby,Steven Universe - Sapphire,None,None
Billy Hargrove x Steve Harrington,Billy Hargrove & Steve Harrington,2,Stranger Things,fictional,M / M,White,Stranger Things - Billy Hargrove,Stranger Things - Steve Harrington,None,None
Chrissy Cunningham x Eddie Munson,Chrissy Cunningham & Eddie Munson,2,Stranger Things,fictional,F / M,White,Stranger Things - Chrissy Cunningham,Stranger Things - Eddie Munson,None,None
Eddie Munson x Steve Harrington,Eddie Munson & Steve Harrington,2,Stranger Things,fictional,M / M,White,Stranger Things - Eddie Munson,Stranger Things - Steve Harrington,None,None
Eddie Munson x Y/N | Reader,Eddie Munson & Y/N | Reader,2,Stranger Things,fictional,M / Ambig,White / Ambig,Stranger Things - Eddie Munson,Stranger Things - Y/N | Reader,None,None
Jane Hopper | Eleven x Maxine 'Max' Mayfield,Jane Hopper | Eleven & Maxine 'Max' Mayfield,2,Stranger Things,fictional,F / F,White,Stranger Things - Jane Hopper | Eleven,Stranger Things - Maxine 'Max' Mayfield,None,None
Jane Hopper | Eleven x Mike Wheeler,Jane Hopper | Eleven & Mike Wheeler,2,Stranger Things,fictional,F / M,White,Stranger Things - Jane Hopper | Eleven,Stranger Things - Mike Wheeler,None,None
Jim 'Chief' Hopper x Joyce Byers,Jim 'Chief' Hopper & Joyce Byers,2,Stranger Things,fictional,M / F,White,Stranger Things - Jim 'Chief' Hopper,Stranger Things - Joyce Byers,None,None
Lucas Sinclair x Maxine 'Max' Mayfield,Lucas Sinclair & Maxine 'Max' Mayfield,2,Stranger Things,fictional,M / F,Black / White,Stranger Things - Lucas Sinclair,Stranger Things - Maxine 'Max' Mayfield,None,None
Mike Wheeler x Will Byers,Mike Wheeler & Will Byers,2,Stranger Things,fictional,M / M,White,Stranger Things - Mike Wheeler,Stranger Things - Will Byers,None,None
Nancy Wheeler x Robin Buckley,Nancy Wheeler & Robin Buckley,2,Stranger Things,fictional,F / F,White,Stranger Things - Nancy Wheeler,Stranger Things - Robin Buckley,None,None
Robin Buckley x Steve Harrington,Robin Buckley & Steve Harrington,2,Stranger Things,fictional,F / M,White,Stranger Things - Robin Buckley,Stranger Things - Steve Harrington,None,None
Felix Lee | Felix x Hwang Hyunjin | Hyunjin,Felix Lee | Felix & Hwang Hyunjin | Hyunjin,2,Stray Kids,RPF,M / M,E Asian,Stray Kids - Felix Lee | Felix,Stray Kids - Hwang Hyunjin | Hyunjin,None,None
Han Jisung | Han x Lee Minho | Lee Know,Han Jisung | Han & Lee Minho | Lee Know,2,Stray Kids,RPF,M / M,E Asian,Stray Kids - Han Jisung | Han,Stray Kids - Lee Minho | Lee Know,None,None
Harvey Specter x Mike Ross,Harvey Specter & Mike Ross,2,Suits,fictional,M / M,White,Suits - Harvey Specter,Suits - Mike Ross,None,None
Ayanga x Zhèng Yúnlóng,Ayanga & Zhèng Yúnlóng,2,Super-Vocal | 声入人心,RPF,M / M,E Asian,Super-Vocal | 声入人心 - Ayanga,Super-Vocal | 声入人心 - Zhèng Yúnlóng,None,None
Anna Milton x Jo Harvelle,Anna Milton & Jo Harvelle,2,Supernatural,fictional,F / F,White,Supernatural - Anna Milton,Supernatural - Jo Harvelle,None,None
Anna Milton x Ruby,Anna Milton & Ruby,2,Supernatural,fictional,F / F,White,Supernatural - Anna Milton,Supernatural - Ruby,None,None
Castiel x Dean Winchester,Castiel & Dean Winchester,2,Supernatural,fictional,M / M,White,Supernatural - Castiel,Supernatural - Dean Winchester,None,None
Castiel x Sam Winchester,Castiel & Sam Winchester,2,Supernatural,fictional,M / M,White,Supernatural - Castiel,Supernatural - Sam Winchester,None,None
Charlie Bradbury x Dorothy Baum,Charlie Bradbury & Dorothy Baum,2,Supernatural,fictional,F / F,White,Supernatural - Charlie Bradbury,Supernatural - Dorothy Baum,None,None
Charlie Bradbury x Gilda,Charlie Bradbury & Gilda,2,Supernatural,fictional,F / F,White / Latin (Multi),Supernatural - Charlie Bradbury,Supernatural - Gilda,None,None
Charlie Bradbury x Jo Harvelle,Charlie Bradbury & Jo Harvelle,2,Supernatural,fictional,F / F,White,Supernatural - Charlie Bradbury,Supernatural - Jo Harvelle,None,None
Dean Winchester x Sam Winchester,Dean Winchester & Sam Winchester,2,Supernatural,fictional,M / M,White,Supernatural - Dean Winchester,Supernatural - Sam Winchester,None,None
Dean Winchester x Y/N | Reader,Dean Winchester & Y/N | Reader,2,Supernatural,fictional,M / Ambig,White / Ambig,Supernatural - Dean Winchester,Supernatural - Y/N | Reader,None,None
Gabriel x Sam Winchester,Gabriel & Sam Winchester,2,Supernatural,fictional,M / M,White,Supernatural - Gabriel,Supernatural - Sam Winchester,None,None
Jared Padalecki x Jensen Ackles,Jared Padalecki & Jensen Ackles,2,Supernatural,RPF,M / M,White,Supernatural - Jared Padalecki,Supernatural - Jensen Ackles,None,None
Jessica Moore x Sam Winchester,Jessica Moore & Sam Winchester,2,Supernatural,fictional,F / M,White,Supernatural - Jessica Moore,Supernatural - Sam Winchester,None,None
Lucifer x Sam Winchester,Lucifer & Sam Winchester,2,Supernatural,fictional,M / M,White,Supernatural - Lucifer,Supernatural - Sam Winchester,None,None
Sam Winchester x Y/N | Reader,Sam Winchester & Y/N | Reader,2,Supernatural,fictional,M / Ambig,White / Ambig,Supernatural - Sam Winchester,Supernatural - Y/N | Reader,None,None
Choi Soobin | Soobin x Choi Yeonjun | Yeonjun,Choi Soobin | Soobin & Choi Yeonjun | Yeonjun,2,TOMORROW X TOGETHER / TXT,RPF,M / M,E Asian,TOMORROW X TOGETHER / TXT - Choi Soobin | Soobin,TOMORROW X TOGETHER / TXT - Choi Yeonjun | Yeonjun,None,None
Allison Argent x Lydia Martin,Allison Argent & Lydia Martin,2,Teen Wolf,fictional,F / F,White,Teen Wolf - Allison Argent,Teen Wolf - Lydia Martin,None,None
Allison Argent x Scott McCall,Allison Argent & Scott McCall,2,Teen Wolf,fictional,F / M,White / Latin (Multi),Teen Wolf - Allison Argent,Teen Wolf - Scott McCall,None,None
Cora Hale x Lydia Martin,Cora Hale & Lydia Martin,2,Teen Wolf,fictional,F / F,White,Teen Wolf - Cora Hale,Teen Wolf - Lydia Martin,None,None
Derek Hale x Stiles Stilinski,Derek Hale & Stiles Stilinski,2,Teen Wolf,fictional,M / M,White,Teen Wolf - Derek Hale,Teen Wolf - Stiles Stilinski,None,None
Erica Reyes x Lydia Martin,Erica Reyes & Lydia Martin,2,Teen Wolf,fictional,F / F,White,Teen Wolf - Erica Reyes,Teen Wolf - Lydia Martin,None,None
Erica Reyes x Vernon Boyd,Erica Reyes & Vernon Boyd,2,Teen Wolf,fictional,F / M,White / Black,Teen Wolf - Erica Reyes,Teen Wolf - Vernon Boyd,None,None
Isaac Lahey x Scott McCall,Isaac Lahey & Scott McCall,2,Teen Wolf,fictional,M / M,White / Latin (Multi),Teen Wolf - Isaac Lahey,Teen Wolf - Scott McCall,None,None
Jackson Whittemore x Lydia Martin,Jackson Whittemore & Lydia Martin,2,Teen Wolf,fictional,M / F,White,Teen Wolf - Jackson Whittemore,Teen Wolf - Lydia Martin,None,None
Kira Yukimura x Malia Tate,Kira Yukimura & Malia Tate,2,Teen Wolf,fictional,F / F,E Asian / White,Teen Wolf - Kira Yukimura,Teen Wolf - Malia Tate,None,None
Liam Dunbar x Theo Raeken,Liam Dunbar & Theo Raeken,2,Teen Wolf,fictional,M / M,White / Am Ind,Teen Wolf - Liam Dunbar,Teen Wolf - Theo Raeken,None,None
Lydia Martin x Stiles Stilinski,Lydia Martin & Stiles Stilinski,2,Teen Wolf,fictional,F / M,White,Teen Wolf - Lydia Martin,Teen Wolf - Stiles Stilinski,None,None
Peter Hale x Stiles Stilinski,Peter Hale & Stiles Stilinski,2,Teen Wolf,fictional,M / M,White,Teen Wolf - Peter Hale,Teen Wolf - Stiles Stilinski,None,None
